usage: main.py [-h] [--dataset DATASET] [--topic_num TOPIC_NUM]
               [--init_dataset] [--seed SEED] [--time_steps TIME_STEPS]
               [--AI AI] [--LAMBDA LAMBDA] [--prob_send_msg PROB_SEND_MSG]
               [--k K] [--worker_num WORKER_NUM] [--plot] [--multi_thread]
               [--plot_type PLOT_TYPE]

Hyper Parameters

optional arguments:
  -h, --help            show this help message and exit
  --dataset DATASET
  --topic_num TOPIC_NUM
  --init_dataset
  --seed SEED
  --time_steps TIME_STEPS
  --AI AI
  --LAMBDA LAMBDA
  --prob_send_msg PROB_SEND_MSG
  --k K
  --worker_num WORKER_NUM
  --plot
  --multi_thread
  --plot_type PLOT_TYPE
Namespace(AI='CB', LAMBDA=0.5, dataset='ciao_clean', init_dataset=False, k=5, multi_thread=False, plot=False, plot_type='fb', prob_send_msg=0.2, seed=321, time_steps=1000, topic_num=5, worker_num=10)
Time step: 197 | Execution time: 17s | Avg. FB: 1.563918
Time step: 198 | Execution time: 18s | Avg. FB: 1.563920
Time step: 199 | Execution time: 16s | Avg. FB: 1.563937
Time step: 200 | Execution time: 18s | Avg. FB: 1.563948
Time step: 201 | Execution time: 18s | Avg. FB: 1.563950
Time step: 202 | Execution time: 17s | Avg. FB: 1.563947
Time step: 203 | Execution time: 16s | Avg. FB: 1.563940
Time step: 204 | Execution time: 16s | Avg. FB: 1.563935
Time step: 205 | Execution time: 17s | Avg. FB: 1.563940
Time step: 206 | Execution time: 18s | Avg. FB: 1.563954
Time step: 207 | Execution time: 18s | Avg. FB: 1.563973
Time step: 208 | Execution time: 18s | Avg. FB: 1.563963
Time step: 209 | Execution time: 16s | Avg. FB: 1.563976
Time step: 210 | Execution time: 17s | Avg. FB: 1.563990
Time step: 211 | Execution time: 18s | Avg. FB: 1.564008
Time step: 212 | Execution time: 18s | Avg. FB: 1.564022
Time step: 213 | Execution time: 18s | Avg. FB: 1.564025
Time step: 214 | Execution time: 17s | Avg. FB: 1.564025
Time step: 215 | Execution time: 17s | Avg. FB: 1.564013
Time step: 216 | Execution time: 18s | Avg. FB: 1.564007
Time step: 217 | Execution time: 18s | Avg. FB: 1.564009
Time step: 218 | Execution time: 17s | Avg. FB: 1.564017
Time step: 219 | Execution time: 18s | Avg. FB: 1.564015
Time step: 220 | Execution time: 18s | Avg. FB: 1.564026
Time step: 221 | Execution time: 17s | Avg. FB: 1.564034
Time step: 222 | Execution time: 17s | Avg. FB: 1.564021
Time step: 223 | Execution time: 18s | Avg. FB: 1.564020
Time step: 224 | Execution time: 18s | Avg. FB: 1.564037
Time step: 225 | Execution time: 19s | Avg. FB: 1.564038
Time step: 226 | Execution time: 18s | Avg. FB: 1.564038
Time step: 227 | Execution time: 19s | Avg. FB: 1.564024
Time step: 228 | Execution time: 17s | Avg. FB: 1.563999
Time step: 229 | Execution time: 43s | Avg. FB: 1.563991
Time step: 230 | Execution time: 18s | Avg. FB: 1.564000
Time step: 231 | Execution time: 17s | Avg. FB: 1.563992
Time step: 232 | Execution time: 18s | Avg. FB: 1.563990
Time step: 233 | Execution time: 18s | Avg. FB: 1.563993
Time step: 234 | Execution time: 19s | Avg. FB: 1.563995
Time step: 235 | Execution time: 18s | Avg. FB: 1.563992
Time step: 236 | Execution time: 18s | Avg. FB: 1.563942
Time step: 237 | Execution time: 18s | Avg. FB: 1.563937
Time step: 238 | Execution time: 18s | Avg. FB: 1.563930
Time step: 239 | Execution time: 19s | Avg. FB: 1.563934
Time step: 240 | Execution time: 17s | Avg. FB: 1.563941
Time step: 241 | Execution time: 18s | Avg. FB: 1.563950
Time step: 242 | Execution time: 18s | Avg. FB: 1.563959
Time step: 243 | Execution time: 19s | Avg. FB: 1.563964
Time step: 244 | Execution time: 18s | Avg. FB: 1.563969
Time step: 245 | Execution time: 18s | Avg. FB: 1.563966
Time step: 246 | Execution time: 18s | Avg. FB: 1.563981
Time step: 247 | Execution time: 19s | Avg. FB: 1.563986
Time step: 248 | Execution time: 18s | Avg. FB: 1.563983
Time step: 249 | Execution time: 17s | Avg. FB: 1.563984
